15.68	0.27	
16.11	0.27	
16.08	0.26	
15.81	0.26	
15.67	0.26	
15.67	0.26	
15.55	0.27	
15.4	0.26	
15.69	0.27	
15.67	0.27	
15.54	0.25	
15.54	0.27	
15.54	0.26	
15.4	0.26	
15.26	0.26	
15.53	0.26	
16.82	0.23	
16.09	0.26	
15.66	0.26	
15.55	0.27	
15.81	0.27	
15.67	0.26	
15.54	0.27	
15.3	0.28	
15.41	0.27	
16.68	0.25	
16.23	0.26	
15.94	0.27	
16.07	0.26	
16.08	0.26	
15.79	0.27	
15.78	0.27	
15.77	0.26	
17.38	0.2	
15.64	0.27	
15.37	0.26	
15.11	0.27	
15.38	0.27	
15.37	0.26	
15.36	0.26	
15.24	0.27	
15.37	0.26	
15.77	0.25	
15.78	0.26	
15	0.28	
15.14	0.27	
15.26	0.26	
15.02	0.28	
15	0.26	
14.64	0.28	
14.34	0.25	
15.71	0.22	
15.59	0.23	
15.32	0.23	
15.18	0.23	
15.31	0.23	
15.32	0.24	
15.19	0.23	
15.18	0.23	
15.05	0.23	
16.53	0.2	
15.85	0.22	
15.57	0.23	
15.31	0.23	
15.56	0.21	
15.41	0.22	
15.16	0.23	
15.02	0.23	
15.27	0.22	
15.68	0.22	
15.01	0.24	
14.88	0.23	
14.88	0.22	
14.77	0.24	
14.63	0.23	
14.41	0.24	
14.63	0.24	
14.97	0.22	
15.64	0.22	
15.37	0.23	
15.24	0.23	
15.49	0.22	
15.23	0.22	
15.12	0.23	
14.98	0.23	
14.74	0.22	
14.51	0.23	
15.95	0.22	
15.95	0.21	
15.27	0.22	
15.27	0.23	
14.9	0.24	
14.89	0.23	
15.41	0.23	
15.14	0.22	
14.79	0.23	
14.79	0.24	
14.92	0.24	
15.04	0.23	
14.91	0.23	
14.11	0.23	
15.34	0.23	
15.58	0.22	
15.45	0.22	
15.07	0.23	
15.18	0.22	
15.18	0.22	
15.18	0.23	
14.81	0.24	
15.17	0.22	
14.93	0.23	
14.79	0.24	
14.66	0.23	
14.65	0.23	
14.31	0.24	
14.31	0.24	
14.42	0.24	
16.81	0.17	
16.22	0.2	
15.4	0.22	
15.25	0.22	
15.01	0.23	
15.14	0.23	
14.77	0.23	
14.88	0.23	
14.63	0.22	
16.83	0.18	
15.54	0.21	
15.29	0.22	
15.04	0.23	
15.68	0.21	
15.41	0.22	
15.3	0.22	
15.42	0.21	
15.05	0.23	
15.05	0.23	
14.91	0.22	
16.39	0.18	
15.71	0.21	
14.95	0.23	
15.59	0.22	
15.45	0.21	
15.08	0.23	
15.19	0.22	
15.07	0.21	
14.7	0.23	
14.13	0.23	
16.6	0.19	
15.6	0.22	
15.2	0.22	
14.67	0.19	
14.34	0.2	
14.44	0.19	
14.1	0.2	
14.33	0.2	
14.44	0.19	
15.2	0.19	
15.08	0.19	
15.08	0.18	
15.08	0.19	
14.71	0.19	
14.46	0.19	
14.24	0.2	
14.37	0.2	
15.35	0.18	
14.72	0.19	
15.22	0.18	
15.48	0.18	
14.98	0.19	
14.99	0.19	
14.98	0.18	
14.98	0.19	
14.63	0.2	
14.61	0.19	
15.89	0.18	
15.25	0.19	
15.23	0.18	
15.13	0.2	
15.24	0.19	
15.38	0.19	
15.11	0.19	
14.85	0.18	
16.05	0.17	
15.24	0.19	
14.73	0.19	
14.38	0.2	
14.6	0.19	
14.71	0.19	
14.96	0.19	
14.84	0.19	
15.71	0.17	
15.08	0.2	
14.57	0.19	
14.34	0.2	
14.45	0.19	
14.35	0.19	
14.24	0.2	
14.45	0.19	
15.59	0.18	
15.58	0.18	
14.33	0.16	
15.85	0.14	
14.36	0.18	
14.33	0.16	
14.1	0.17	
14.22	0.18	
14.32	0.17	
14.22	0.17	
14.44	0.17	
14.43	0.17	
14.11	0.18	
14.79	0.16	
14.56	0.17	
14.66	0.17	
14.42	0.17	
14.64	0.16	
14.65	0.17	
14.42	0.17	
15	0.16	
15.14	0.17	
15.42	0.15	
15.27	0.16	
15.13	0.17	
15.12	0.16	
15.25	0.16	
15.13	0.17	
15	0.16	
14.99	0.16	
14.64	0.17	
14.89	0.16	
14.78	0.17	
